idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad
10086,TIERRA DE MELIDE O-E (PADORNELO-SIERRA DE ATAPUERCA),0,80,0,3,0,3000,N,3140,"443610,336184245","4484334,19583554",
10181,PALAS DE REY O-E (TRIACASTELA - CON. SANTIAGO),0,0,0,0,0,3000,N,3140,"443190,792133916","4484498,64555855",
6594,SANTO DOMINGO DE LA CALZADA E-O(SAUCEDA-VALCARLOS),780202,360,2,14,0,3000,N,3140,"443736,672843967","4483904,93327727",
10693,(CARRIL BUS) AV. CAMINO DE SANTIAGO N-S (TIERRA DE MELIDE - PALAS DE REY),0,80,2,7,0,1500,N,3140,"443316,103327124","4484522,05459031",
10694,(CARRIL BUS) AV. CAMINO SANTIAGO S-N(GTA. MONTE GOZO-PORTOMARIN),0,0,0,0,0,1500,N,3136,"443450,034681878","4484630,99610727",
10854,(CARRIL BUS) AV. SANTO DOMINGO DE LA CALZADA O-E (CASTIELLO DE JACA - CAMINO DE SANTIAGO),0,80,0,5,0,1500,N,3140,"443077,999765896","4484439,24792767",
10855,(CARRIL BUS) SANTO DOMINGO DE LA CALZADA E-O (REDECILLA DEL CAMINO - CAMINO DE SANTIAGO),0,80,2,7,0,1500,N,3140,"443321,04672974","4484290,47074503",
10856,(CARRIL BUS) SANTO DOMINGO DE LA CALZADA O-E (SIERRA ATAPUERCA-BOADILLA DEL CAMINO),0,40,2,5,0,1500,N,3140,"443536,955465904","4484065,55586973",
10857,(CARRIL BUS) SANTO DOMINGO DE LA CALZADA E-O(SAUCEDA-VALCARLOS),0,0,100,100,3,1500,N,3140,"443740,023931511","4483909,04310162",
10359,(MICRO)ACCESO M-40 O-E(PROX. GR-14),0,222,52,58,2,1700,N,3136,"443497,657729004","4484781,3760442",
10565,(MICRO) RONDA DE LA COMUNICACION (JUNTO GR-2),0,166,3,13,0,1600,N,3136,"443760,415051866","4484930,90443843",
10567,(MICRO) PORTICO DE LA GLORIA (JUNTO GR-5),0,55,0,3,0,1600,N,3136,"443690,290461616","4484976,05960955",
3700,REDECILLA DEL CAMINO S-N (VILORIA DE RIOJA - SANTO DOMINGO DE LA CALZADA),0,40,63,64,2,1500,N,3140,"443330,157250873","4484219,2792872",
6600,"SANTO DOMINGO DE LA CALZADA, 23 E-O (VALCARLOS - SIERRA DE ATAPUERCA)",0,80,97,97,3,1500,N,3140,"443515,800170246","4484097,39669528",
10361,(TACTICO) FROMISTA E-O (GIRO A PALAS DEL REY NORTE),0,0,0,0,0,1500,N,3140,"443028,282576962","4484692,31300509",
10360,(TACTICO) FROMISTA O-E (GIRO A PALAS DEL REY SUR),0,0,0,0,0,1500,N,3140,"442983,144730775","4484667,94807905",
5149,ILLESCAS ENTRE Pº EXTREMADURA Y SESEÑA SENTIDO O-E,800101,127,10,11,0,1500,S,1718,"435013,847666622","4472093,2894373",
3770,ESCALONA S-N(SESEÑA-MAQUEDA),800304,0,0,0,0,1500,N,1718,"435013,914335292","4471899,66949104",
5151,AV.POBLADOS N-S(SEBASTIAN ALVAROMELILOTO),800701,756,3,19,0,4500,N,1765,"434779,649373885","4471459,56090683",
5152,PADRE PIQUER N-S(SESEÑA-TEMBLEQUE),800702,252,7,23,0,1500,N,1765,"434911,582905431","4471421,46854274",
3771,AV.DE LOS  POBLADOS ENTRE GUAREÑA Y PADRE PIQUER SENTIDO E-O,800703,756,3,20,0,4500,N,1765,"434960,366366559","4471273,63959097",
5153,AV.DE LOS POBLADOS ENTRE LUIS CHAMIZO Y AV. LAS AGUILAS SENTIDO O-E,801001,756,2,18,0,4500,N,1765,"435223,219791175","4470966,27688044",
5154,AV. LAS AGUILAS ENTRE AV.DE LOS POBLADOS Y GUAREÑA SENTIDO N-S,862402,468,2,12,0,4500,N,1765,"435231,810617434","4470792,72240485",
5155,AV. DE LOS POBLADOS ENTRE CTRO. PENITENCIARIO Y AV. LAS AGUILAS SENTIDO E-O,801003,396,1,10,0,4500,N,1765,"435502,650912712","4470672,37434632",
5156,AV. LAS AGUILAS ENTRE AVDA.DE LOS POBLADOS Y OCAÑA SENTIDO S-N,370104,684,3,18,0,4500,N,1765,"435377,005739216","4470865,58429829",
10389,AV. POBLADOS O-E(SEBASTIAN ALVARO-PILAR),802701,648,2,19,0,3600,N,1765,"434622,60289203","4471627,87514097",
