,loop_detector_ID
0,767.1
1,767.2
2,767.3
3,D30003
4,D30004
5,D30014
6,D30015
7,D710. 3
8,D710.2
9,D710.4
10,D710.5
11,D710.6
12,D710.7
13,D710.8
14,D711.1
15,D770.3
16,D770.4
17,D770.5
18,D770.6
19,D909.1
20,D909.2
21,D909.3
22,D909.4
23,D909.5
24,D909.6
25,D909.7
26,D910.1
27,D910.2
28,D916.3
29,D916.4
30,D916.5
31,D916.6
32,D918.10
33,D918.11
34,D918.12
35,D918.6
36,D918.7
37,D918.8
38,D918.9
39,D926.1
40,D926.2
41,D926.5
42,D926.6
43,D926.7
44,D926.8
45,Det 1
46,Det 2
